source_url,target_url,status_code,preserve_query_string,include_subdomains,subpath_matching
https://tw.elitefasion.com/lifestyle-culture/family-table-toys-puzzles-gifts-products-2,https://tw.elitefasion.com/lifestyle-culture/family-table-toys-puzzles-gifts-products,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/family-table-toys-puzzles-gifts-products-2.html,https://tw.elitefasion.com/lifestyle-culture/family-table-toys-puzzles-gifts-products,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/first-pet-shopping-food-toy-cleaning-outing-order-2,https://tw.elitefasion.com/lifestyle-culture/first-pet-shopping-food-toy-cleaning-outing-order,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/first-pet-shopping-food-toy-cleaning-outing-order-2.html,https://tw.elitefasion.com/lifestyle-culture/first-pet-shopping-food-toy-cleaning-outing-order,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/scent-bodycare-gift-essential-oil-towel-small-goods,https://tw.elitefasion.com/lifestyle-culture/scent-bodycare-gift-essential-oil-towel-goods,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/scent-bodycare-gift-essential-oil-towel-small-goods.html,https://tw.elitefasion.com/lifestyle-culture/scent-bodycare-gift-essential-oil-towel-goods,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/side-cabinet-nightstand-bedroom-products-2,https://tw.elitefasion.com/lifestyle-culture/side-cabinet-nightstand-bedroom-products,301,true,false,false
https://tw.elitefasion.com/lifestyle-culture/side-cabinet-nightstand-bedroom-products-2.html,https://tw.elitefasion.com/lifestyle-culture/side-cabinet-nightstand-bedroom-products,301,true,false,false
https://tw.elitefasion.com/outdoor-escapes/travel-luggage-front-open-carry-on-packing-system-2,https://tw.elitefasion.com/outdoor-escapes/travel-luggage-front-open-carry-on-packing-system,301,true,false,false
https://tw.elitefasion.com/outdoor-escapes/travel-luggage-front-open-carry-on-packing-system-2.html,https://tw.elitefasion.com/outdoor-escapes/travel-luggage-front-open-carry-on-packing-system,301,true,false,false
https://tw.elitefasion.com/wellness-movement/freezer-meal-prep-chicken-sweet-potato-vegetables-pack,https://tw.elitefasion.com/wellness-movement/freezer-meal-prep-chicken-sweet-potato-vegetables,301,true,false,false
https://tw.elitefasion.com/wellness-movement/freezer-meal-prep-chicken-sweet-potato-vegetables-pack.html,https://tw.elitefasion.com/wellness-movement/freezer-meal-prep-chicken-sweet-potato-vegetables,301,true,false,false
